PassengerId,Survived,Pclass,Sex,Embarked,transformed_fare_boxcox,age_dis,family_size
1,0.0,3,1,S,2.1981882539738695,Young,1
2,1.0,1,0,C,4.569690969302217,Middle Age,1
3,1.0,3,0,S,2.283607633459856,Young,0
4,1.0,1,0,S,4.3133186493534,Young,1
5,0.0,3,1,S,2.2987413764692493,Young,0
6,0.0,3,1,Q,2.3468104976470965,Young,0
7,0.0,1,1,S,4.286352837098754,Aged,0
8,0.0,3,1,S,3.286066798571693,Kid,4
9,1.0,3,0,S,2.6196506894102427,Young,2
10,1.0,2,0,C,3.673621357007529,Kid,1
11,1.0,3,0,S,3.0383301146306287,Kid,2
12,1.0,1,0,S,3.53668406922556,Aged,0
13,0.0,3,1,S,2.2987413764692493,Young,0
14,0.0,3,1,S,3.7170487256247133,Middle Age,6
15,0.0,3,0,S,2.274945219275814,Kid,0
16,1.0,2,0,S,2.993299612741849,Aged,0
17,0.0,3,1,Q,3.638362595183394,Kid,5
18,1.0,2,1,S,2.777603122749754,Young,0
19,0.0,3,0,S,3.1175924947117775,Young,1
20,1.0,3,0,C,2.194897022647837,Young,0
21,0.0,2,1,S,3.5137849482404153,Young,0
22,1.0,2,1,S,2.777603122749754,Young,0
23,1.0,3,0,Q,2.2962371161632316,Kid,0
24,1.0,1,1,S,3.8579836901342963,Young,0
25,0.0,3,0,S,3.286066798571693,Kid,4
26,1.0,3,0,S,3.721025925044251,Middle Age,6
27,0.0,3,1,C,2.194897022647837,Young,0
28,0.0,1,1,S,4.569690969302217,Young,5
29,1.0,3,0,Q,2.278011563695807,Young,0
30,0.0,3,1,S,2.2800430335888033,Young,0
31,0.0,1,1,C,3.5840007617178733,Middle Age,0
32,1.0,1,0,C,4.569690969302217,Young,1
33,1.0,3,0,Q,2.2620743831017367,Young,0
34,0.0,2,1,S,2.5607050113320255,Aged,0
35,0.0,1,1,C,4.569690969302217,Young,1
36,0.0,1,1,S,4.289378842705569,Middle Age,1
37,1.0,3,1,C,2.1954506211919753,Young,0
38,0.0,3,1,S,2.2987413764692493,Young,0
39,0.0,3,0,S,3.1175924947117775,Kid,2
40,1.0,3,0,C,2.6294427066251567,Kid,1
41,0.0,3,0,S,2.458341262608141,Middle Age,1
42,0.0,2,0,S,3.2822337382571862,Young,1
43,0.0,3,1,C,2.2800430335888033,Young,0
44,1.0,2,0,C,4.035415291308396,Kid,3
45,1.0,3,0,Q,2.278011563695807,Young,0
